SampleID,site_depth_mbss,mean_horizon_depth,organic_c_wtperc,part_n_wtperc,cn_ratio,temperature_C,salinity_psu,bw_o2_mg_l,porosity_cm3pore_cm3sed,pore_o2_mg_l,NH4_uM,PO4_uM,NOx_uM,NO2_uM,NO3_uM,sulfide_mM,chloride_mM,bromide_mM,sulfate_mM,acetate_mM,formate_mM
DL12-OC17-0109-EP,1973,2.5,3.3,0.4,8.3,1.99,34.62,1.68,0.83,BLQ,7.78,11.19,5.78,0.41,5.37,BLQ,567.39,0.77,26.98,0.04,BLQ
DL12-OC17-0702-EP,1973,7.5,2.7,0.3,7.7,1.99,34.62,1.68,0.81,BLQ,21.55,3.69,1.14,0.25,0.89,BLQ,575.3,0.8,27.26,0.08,BLQ
DL12-OC17-0802-EP,1973,12.5,2.7,0.3,9.6,1.99,34.62,1.68,0.79,BLQ,11.94,1.55,1.61,0.25,1.36,BLQ,575.69,0.8,27.29,0.08,BLQ
DL12-OC17-0902-EP,1973,17.5,2.6,0.3,9.1,1.99,34.62,1.68,0.76,BLQ,7.47,3.17,BLQ,0.36,BLQ,BLQ,582.23,0.79,27.41,0.12,BLQ
DL12-OC17-1610-EP,1973,17.5,2.6,0.3,9.1,1.99,34.62,1.68,0.76,BLQ,7.47,3.17,BLQ,0.36,BLQ,BLQ,582.23,0.79,27.41,0.12,BLQ
DL12-OC17-0312-EP,1973,2.5,3.3,0.4,8.3,1.99,34.62,1.68,0.85,BLQ,17.6,8.03,1.9,0.3,1.59,BLQ,555.99,0.82,29.15,0.08,BLQ
DL12-OC17-1412-EP,1973,2.5,3.3,0.4,8.3,1.99,34.62,1.68,0.85,BLQ,17.6,8.03,1.9,0.3,1.59,BLQ,555.99,0.82,29.15,0.08,BLQ
DL12-OC17-1002-EP,1973,7.5,2.7,0.3,7.7,1.99,34.62,1.68,0.79,BLQ,37.08,4.21,BLQ,0.3,BLQ,BLQ,545.87,0.81,28.25,0.08,BLQ
DL12-OC17-0412-EP,1973,12.5,2.7,0.3,9.6,1.99,34.62,1.68,0.75,BLQ,33.79,2.84,BLQ,0.41,BLQ,BLQ,536.52,0.79,27.49,0.1,BLQ
DL12-OC17-1102-EP,1973,17.5,2.6,0.3,9.1,1.99,34.62,1.68,0.73,BLQ,34.05,1.55,BLQ,0.89,BLQ,BLQ,545.65,0.82,28.05,0.11,BLQ
DL12-OC17-1502-EP,2412,1.25,NA,NA,NA,1.81,34.64,2.03,0.88,BLQ,15.1,11.31,2.89,0.96,1.93,BLQ,580.07,0.82,28.58,0.03,BLQ
DL12-OC17-0103-EP,2412,3.75,NA,NA,NA,1.81,34.64,2.03,0.84,BLQ,51.15,4.76,BLQ,BLQ,BLQ,BLQ,579.23,0.82,28.38,0.04,BLQ
DL12-OC17-0203-EP,2412,7.5,NA,NA,NA,1.81,34.64,2.03,0.82,BLQ,46.02,4.83,BLQ,BLQ,BLQ,BLQ,575.13,0.83,28.18,0.03,BLQ
DL12-OC17-0403-EP,2412,12.5,NA,NA,NA,1.81,34.64,2.03,0.77,BLQ,52.73,4.27,BLQ,0.38,BLQ,BLQ,579.51,0.83,28.14,0.04,BLQ
DL12-OC17-0509-EP,2412,17.5,NA,NA,NA,1.81,34.64,2.03,0.75,BLQ,66.94,4.34,BLQ,1.13,BLQ,BLQ,574.37,0.84,28.16,0.03,BLQ
DL12-OC17-0609-EP,2412,22.5,NA,NA,NA,1.81,34.64,2.03,0.76,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-1202-EP,2412,1.25,NA,NA,NA,1.81,34.64,2.03,0.86,BLQ,23.52,9.94,BLQ,BLQ,BLQ,BLQ,576.33,0.84,28.45,0.02,BLQ
DL12-OC17-1302-EP,2412,3.75,NA,NA,NA,1.81,34.64,2.03,0.84,BLQ,27.91,7.33,BLQ,BLQ,BLQ,BLQ,583.79,0.85,26.56,0.04,0.06
DL12-OC17-0209-EP,2412,7.5,NA,NA,NA,1.81,34.64,2.03,0.79,BLQ,30.63,17.15,BLQ,BLQ,BLQ,BLQ,580.85,0.85,28.6,0.04,0.05
DL12-OC17-0309-EP,2412,12.5,NA,NA,NA,1.81,34.64,2.03,0.76,BLQ,48,2.58,BLQ,BLQ,BLQ,BLQ,583.55,0.85,28.76,0.05,0.05
DL12-OC17-0409-EP,2412,17.5,NA,NA,NA,1.81,34.64,2.03,0.6,BLQ,65.23,5.68,BLQ,BLQ,BLQ,BLQ,580.85,0.85,28.53,0.04,BLQ
DL12-OC17-1402-EP,2412,22.5,NA,NA,NA,1.81,34.64,2.03,0.75,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-1103-EP,3040,2.5,NA,NA,NA,NA,NA,NA,0.83,NA,34.44,4.79,1.9,BLQ,1.9,BLQ,564.57,0.82,28.58,0.07,BLQ
DL12-OC17-0809-EP,3040,22.5,NA,NA,NA,NA,NA,NA,0.83,NA,50.76,7.58,BLQ,0.41,BLQ,BLQ,554.52,0.8,27.92,0.11,BLQ
DL12-OC17-1009-EP,3040,42.5,NA,NA,NA,NA,NA,NA,0.8,NA,58.26,9.79,BLQ,0.41,BLQ,BLQ,570.23,0.84,28.66,0.12,BLQ
DL12-OC17-1109-EP,3040,62.5,NA,NA,NA,NA,NA,NA,0.82,NA,62.78,9.79,BLQ,0.41,BLQ,BLQ,561.03,0.82,28.33,0.08,BLQ
DL12-OC17-1209-EP,3040,82.5,NA,NA,NA,NA,NA,NA,0.81,NA,62.73,11.77,BLQ,BLQ,BLQ,BLQ,549.27,0.8,27.69,0.06,BLQ
DL12-OC17-1309-EP,3040,102.5,NA,NA,NA,NA,NA,NA,0.79,NA,68.52,9.53,BLQ,BLQ,BLQ,0.04,561.75,0.82,28.25,0.08,BLQ
DL12-OC17-1409-EP,3040,122.5,NA,NA,NA,NA,NA,NA,0.78,NA,69.97,11.09,1.2,0.63,0.58,BLQ,571.82,0.83,28.41,0.27,BLQ
DL12-OC17-1509-EP,3040,142.5,NA,NA,NA,NA,NA,NA,0.79,NA,72.47,10.38,BLQ,0.57,BLQ,BLQ,574.94,0.79,26.95,0.08,BLQ
DL12-OC17-0110-EP,3040,162.5,NA,NA,NA,NA,NA,NA,0.79,NA,84.31,11.35,BLQ,0.68,BLQ,BLQ,571.98,0.83,28.79,0.14,BLQ
DL12-OC17-0512-EP,2965,1.25,NA,NA,NA,1.59,34.67,2.46,0.86,BLQ,32.47,23.69,6.59,0.2,6.39,BLQ,536.38,0.81,28.11,0.03,BLQ
DL12-OC17-0503-EP,2965,3.75,NA,NA,NA,1.59,34.67,2.46,0.84,BLQ,61.9,17.23,BLQ,0.41,BLQ,BLQ,547,0.8,28.16,0.03,BLQ
DL12-OC17-0211-EP,2965,3.75,NA,NA,NA,1.59,34.67,2.46,0.84,BLQ,61.9,17.23,BLQ,0.41,BLQ,BLQ,547,0.8,28.16,0.03,BLQ
DL12-OC17-0603-EP,2965,7.5,NA,NA,NA,1.59,34.67,2.46,0.83,BLQ,48.52,9.01,BLQ,0.36,BLQ,BLQ,551.47,0.82,28.32,0.04,BLQ
DL12-OC17-0703-EP,2965,12.5,NA,NA,NA,1.59,34.67,2.46,0.81,BLQ,50.76,5.38,BLQ,0.25,BLQ,BLQ,545.52,0.81,27.92,0.03,BLQ
DL12-OC17-0709-EP,2965,17.5,NA,NA,NA,1.59,34.67,2.46,0.81,BLQ,51.24,6.35,BLQ,0.2,BLQ,BLQ,533.69,0.78,27.34,0.03,BLQ
DL12-OC17-1611-EP,2965,17.5,NA,NA,NA,1.59,34.67,2.46,0.81,BLQ,51.24,6.35,BLQ,0.2,BLQ,BLQ,533.69,0.78,27.34,0.03,BLQ
DL12-OC17-0612-EP,2965,22.5,NA,NA,NA,1.59,34.67,2.46,0.8,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-0712-EP,2965,1.25,NA,NA,NA,1.59,34.67,2.46,0.86,BLQ,15.1,11.22,3.5,0.33,3.17,BLQ,537.37,0.79,27.79,0.03,BLQ
DL12-OC17-0803-EP,2965,3.75,NA,NA,NA,1.59,34.67,2.46,0.84,BLQ,35.06,8.53,BLQ,0.3,BLQ,BLQ,550.19,0.82,28.4,0.03,BLQ
DL12-OC17-0903-EP,2965,7.5,NA,NA,NA,1.59,34.67,2.46,0.83,BLQ,32.08,7,BLQ,0.41,BLQ,BLQ,542.8,0.8,27.81,0.03,BLQ
DL12-OC17-1003-EP,2965,12.5,NA,NA,NA,1.59,34.67,2.46,0.8,BLQ,32.08,5.57,BLQ,0.36,BLQ,BLQ,550.75,0.81,28.28,0.04,BLQ
DL12-OC17-0812-EP,2965,17.5,NA,NA,NA,1.59,34.67,2.46,0.81,BLQ,49.97,7.97,BLQ,0.3,BLQ,BLQ,544.67,0.8,27.92,0.02,BLQ
DL12-OC17-0912-EP,3535,1.25,3.1,0.4,7.6,1.54,34.68,2.51,0.89,BLQ,27.6,13.7,21.78,4,17.78,0.03,561.73,0.75,26.38,0.02,BLQ
DL12-OC17-1203-EP,3535,3.75,3.1,0.4,7.6,1.54,34.68,2.51,0.85,BLQ,22.6,10.5,1.17,0.39,0.78,BLQ,569.42,0.84,28.7,0.03,BLQ
DL12-OC17-1303-EP,3535,7.5,3.2,0.4,7.9,1.54,34.68,2.51,0.83,BLQ,36.02,6.59,BLQ,0.39,BLQ,BLQ,574.81,0.85,28.82,0.03,BLQ
DL12-OC17-1403-EP,3535,12.5,3,0.4,7.2,1.54,34.68,2.51,0.83,BLQ,56.42,6.94,BLQ,0.39,BLQ,BLQ,580.57,0.86,29.01,0.02,BLQ
DL12-OC17-1503-EP,3535,17.5,2.6,0.3,7.7,1.54,34.68,2.51,0.81,BLQ,70.76,5.61,3.03,BLQ,3.03,BLQ,569.82,0.85,28.42,0.03,BLQ
DL12-OC17-1012-EP,3535,22.5,1.7,0.3,6.4,1.54,34.68,2.51,0.79,BLQ,90.54,9.37,3.72,1.17,2.55,BLQ,574.12,0.86,28.48,0.03,BLQ
DL12-OC17-0310-EP,3535,27.5,NA,NA,NA,1.54,34.68,2.51,0.78,BLQ,107.29,11.1,BLQ,0.28,BLQ,BLQ,575.99,0.86,28.37,0.03,BLQ
DL12-OC17-0410-EP,3535,27.5,NA,NA,NA,1.54,34.68,2.51,0.78,BLQ,107.29,11.1,BLQ,0.28,BLQ,BLQ,575.99,0.86,28.37,0.03,BLQ
DL12-OC17-1603-EP,3535,1.25,3.1,0.4,7.6,1.54,34.68,2.51,0.9,BLQ,13.74,7.54,8.09,BLQ,8.09,BLQ,568.58,0.83,28.7,0.04,BLQ
DL12-OC17-0104-EP,3535,3.75,3.1,0.4,7.6,1.54,34.68,2.51,0.88,BLQ,30.45,21.17,1.52,0.44,1.07,BLQ,557.6,0.82,28.03,0.03,BLQ
DL12-OC17-0204-EP,3535,7.5,3.2,0.4,7.9,1.54,34.68,2.51,0.85,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-0510-EP,3535,12.5,3,0.4,7.2,1.54,34.68,2.51,0.82,BLQ,45.28,7.47,4.39,1.29,3.1,BLQ,564.23,0.84,28.67,0.03,BLQ
DL12-OC17-0610-EP,3535,17.5,2.6,0.3,7.7,1.54,34.68,2.51,0.8,BLQ,81.68,4.51,2.44,0.34,2.1,BLQ,579.24,0.86,28.73,0.07,BLQ
DL12-OC17-0710-EP,3535,22.5,1.7,0.3,6.4,1.54,34.68,2.51,0.78,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-0810-EP,3535,27.5,NA,NA,NA,1.54,34.68,2.51,0.74,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-1112-EP,3875,2.5,NA,NA,NA,1.5,34.68,2.79,0.86,0.04,17.34,3.84,43.1,14.5,28.6,BLQ,602.46,0.8,29.22,0.03,BLQ
DL12-OC17-0910-EP,3875,7.5,NA,NA,NA,1.5,34.68,2.79,0.78,0.01,55.36,6.61,BLQ,0.39,BLQ,BLQ,570.74,0.86,28.31,0.02,BLQ
DL12-OC17-1310-EP,3875,7.5,NA,NA,NA,1.5,34.68,2.79,0.76,BLQ,16.46,5.82,BLQ,BLQ,BLQ,BLQ,612.01,0.81,28.01,0.03,BLQ
DL12-OC17-1510-EP,3875,7.5,NA,NA,NA,1.5,34.68,2.79,0.76,BLQ,16.46,5.82,BLQ,BLQ,BLQ,BLQ,612.01,0.81,28.01,0.03,BLQ
DL12-OC17-0111-EP,3875,17.5,NA,NA,NA,1.5,34.68,2.79,0.76,BLQ,47.12,5.55,BLQ,BLQ,BLQ,BLQ,621.1,0.83,27.61,0.02,BLQ
